tic_id,label,sectors,morphology,source,flags
31653503,eclipsing_binary,"1, 2, 3, 27, 28, 29, 30, 67, 68, 69",0.549,LCF,
31655792,eclipsing_binary,"1, 2, 3, 10, 27, 28, 29, 30, 67, 68, 69",0.788,LCF,
31690845,eclipsing_binary,"13, 27, 67",0.708,LCF,
31743416,eclipsing_binary,"1, 2, 3, 27, 28, 29, 30, 37, 64, 67, 68, 69",0.496,LCF,
31779608,eclipsing_binary,"1, 2, 3, 6, 10, 13, 27, 28, 29, 30, 33, 63, 66, 67, 68, 69, 87",0.387,LCF,
31796120,eclipsing_binary,"1, 2, 3, 6, 10, 13, 27, 28, 29, 30, 33, 63, 66, 67, 68, 69, 87",0.517,LCF,
31810287,eclipsing_binary,"8, 9, 35, 36, 62, 63",0.233,LCF,
31850842,eclipsing_binary,"1, 2, 3, 7, 10, 27, 28, 29, 30, 37, 61, 64, 67, 68, 69, 88",0.320,LCF,
31961007,eclipsing_binary,"1, 2, 3, 4, 6, 7, 10, 13, 27, 28, 29, 30, 33, 34, 37, 61, 62, 63, 64, 66, 67, 68, 69, 87, 88",0.259,LCF,
32000625,eclipsing_binary,"1, 2, 3, 6, 7, 9, 10, 12, 13, 27, 28, 29, 30, 33, 36, 37, 39, 61, 62, 63, 64, 65, 66, 67, 69, 87, 88",0.535,LCF,
